user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Niyongira Bedas,,,2023-03-19 04:53:40+00:00,7,59,8,False,2023-04-16 17:16:54+00:00,"RT @BigDott50: From where are you mining in @sidrabank ?  Tell us your country name !!  @maljefairi

Follow 4 More 👉 @BigDott50

#SidraFami…",,Twitter for Android,False
Alpha2,,,2023-04-03 18:31:19+00:00,1,37,56,False,2023-04-16 17:16:53+00:00,"RT @XcelPad: #XcelPad is revolutionizing the multichain launchpad game, empowering innovative DeFi projects with a cutting-edge platform. P…",['XcelPad'],Twitter for Android,False
Amira,Metaverse,#NFT Collector // Web3 // #WAGMIARMY,2022-11-25 00:42:40+00:00,59,277,388,False,2023-04-16 17:16:49+00:00,"RT @JeyaR6S: If your comment gets 0 likes, I'll send you $1,000 in #ETH",['ETH'],Twitter Web App,False
Mohammed shamil P,,"crypto investor
promoter",2023-04-15 06:33:31+00:00,1,9,34,False,2023-04-16 17:16:48+00:00,"RT @AirdropsGun: 🚀 Airdrop: Gee
💰 Value: 116,000 $GT
👥 Referral: Yes
📅 End Date: 18th April, 2023
🏦 Distribution Date: TBA

🎐 Airdrop Link:…",,Twitter for Android,False
Imranababki,Karachi Pakistan ,"alhamdulillah ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ #AltcoinGlitz

love to read and write",2019-06-27 15:04:38+00:00,13,3226,6842,False,2023-04-16 17:16:45+00:00,"RT @THEGOONEEZ: 🚨#NFTgiveaway 🚨

🏆 @thehumanoids #11193 + $50 #ETH

To Enter 🎟️

1️⃣ RT + Like
2️⃣ Tag 2 
3️⃣ Must be in space: https://t.c…","['NFTgiveaway', 'ETH']",Twitter for Android,False
Joker ඞ,"Mexico,USA",La vida es muy injusta a veces  🇲🇽,2019-09-21 23:37:02+00:00,525,1071,28864,False,2023-04-16 17:16:45+00:00,"RT @maingives: 🔥300$ CRYPTO GIVEAWAY 🔥

➡️ TO ENTER:

✅ Follow me &amp; @razoraffiliate
✅ Retweet
✅ Follow https://t.co/0ykL9h3vTy (show proof👇…",,Twitter Web App,False
Falco-art,Turkey,Artist & photographer,2021-07-11 20:03:35+00:00,170,455,1956,False,2023-04-16 17:16:40+00:00,"RT @DuetLovable: 🐼NEW DROP🐼

""Spring Party""🎊🏞️
available on @foundation 🖤

Reserve: 0.07 #ETH
 
https://t.co/kaXCn42RT7

#moonpandaclub #Ar…","['ETH', 'moonpandaclub']",Twitter for iPhone,False
Anahi,,,2023-03-08 04:13:49+00:00,26,98,128,False,2023-04-16 17:16:36+00:00,"RT @JeyaR6S: If your comment gets 0 likes, I'll send you $1,000 in #ETH",['ETH'],Twitter Web App,False
Bad Reviews Only,"Texas, USA",,2020-12-12 23:55:52+00:00,1095,469,2298,False,2023-04-16 17:16:35+00:00,"#BTC #ETH #ADA ... Info
Hundred Finance loses $7 million in Optimism hack
https://t.co/ps8expz683","['BTC', 'ETH', 'ADA']",Zapier.com,False
Don Matthew Padilla,Quezon City,"in the pursuit of happness , Enterprenuer",2023-02-08 14:05:06+00:00,34,89,32,False,2023-04-16 17:16:33+00:00,"RT @Coredao__0rg_: FIRST COME FIRST SERVE

5000 Participants⬇️

✓ retweet pinned post @core_cat_ai
 ✓RT &amp; Like
✓Tag 3 Friends

#CoreDAO #Ai…",['CoreDAO'],Twitter for iPhone,False
