user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
🐣❤️🦂♏🎼 Uηđеrjusτιсеđ,,"Love is sacred & its eligibility is only attained by spirituality. Love without respect, honour, dignity, self-control & patience is lust. (views are personal)",2020-06-26 13:06:07+00:00,132,103,15813,False,2023-04-16 17:12:54+00:00,"For #Indian followers of @FriedrichPieter.
Acc. to US Commerce @SecRaimondo, #Modi, the Butcher of Gujarat who was banned from America for 10 yrs, is: “Unbelievable. Visionary. Visionary! &amp; his level of commitment to the ppl of India is just indescribable.
https://t.co/rU9DPnUXyE https://t.co/UUrOSCtJnq https://t.co/lgpnN2CriP","['Indian', 'Modi']",Twitter for Android,False
Ranga,Chennai,"Lean manufacturing, Financial analyst 🇮🇳",2009-08-17 06:10:22+00:00,72,135,625,False,2023-04-16 17:12:44+00:00,@rose_k01 No doubt the secular people are jealous of #Modi!,['Modi'],Twitter for iPhone,False
Riaz Haq,"Silicon Valley, CA",Riaz Haq writes this blog to express his opinions and make comments on wide ranging topics.The subjects include events in Pakistan and Silicon Valley.,2009-01-19 04:00:06+00:00,4162,477,28796,False,2023-04-16 17:11:45+00:00,Ex-IIOJK governor’s revelations on #Pulwama (#Kashmir) attack vindicate #Pakistan.  #Indian PM #Modi wanted to use the attack to blame Pakis­tan for the benefit of his government and the #BJP to win the 2019 elections in #India. #Balakot  https://t.co/caKXQFJ0tq,"['Pulwama', 'Kashmir', 'Pakistan', 'Indian', 'Modi']",Twitter Web App,False
Bharath,"Chennai, India",Nationalist | Modist,2022-08-08 11:00:42+00:00,8,354,8,False,2023-04-16 16:58:39+00:00,"Modiji's Gujarat and French Fries
@narendramodi @PMOIndia #India #Modi #Modist https://t.co/g4WodQcm2z","['India', 'Modi', 'Modist']",Twitter for Android,False
Ayarkar Raghu.,"Mumbai, India",AI ML 3D printing #technology enthusiast,2018-03-11 02:46:40+00:00,14,207,99,False,2023-04-16 16:58:18+00:00,@Mehboobp1 @RahulGandhi We will kick out congress. We don't want karnataka to become kerla or wb. Nandini no one can kick out..it is karnataka pride. #Modi #congresshatesobc #CongressMuktBharat,,Twitter for Android,False
आपलाच योगेश,,"आप युवा आघाडी, पुणे",2021-12-12 05:17:42+00:00,40,486,1412,False,2023-04-16 16:54:09+00:00,"The only person who can defeat @narendramodi is @ArvindKejriwal , that's why Modi is getting feared about his removal from post as #prime_minister in 2024. According to me no one other is there who can defeat #Modi rather than #kejriwal.

#KejriwalRukegaNahi https://t.co/rZIwUEaAOx",,Twitter for Android,False
DR HEMA,,"I LOVE INDIA, I LIVE FOR INDIA, I WILL DIE FOR INDIA.
TRICOLOUR IS MY BLOOD COLOUR. 
MAKE ROMANS DO, WHAT WE DO.",2020-06-23 06:34:37+00:00,35,2,14,False,2023-04-16 16:50:58+00:00,"@mrjayasingh @rishibagree If you give 20 rs extra to every litre petrol, diesel and 400 rs extra to every LPG ...any joker can build infrastructure to whole world....
#Bjp #Congress #Modi",,Twitter for Android,False
ಭಾನು ಪ್ರಕಾಶ್ (Bhanu Prakash),"Bengaluru, India",ಕನ್ನಡಿಗ. Dravidian. Indian. Human. Earthling.,2010-03-18 20:01:07+00:00,201,130,13148,False,2023-04-16 16:43:51+00:00,"#BJP wants to sideline leaders who grew on their own. That's why they removed #Yedyurappa, #jagadishshetter and #Eshwarappa. They want people who will chant #Modi Modi for everything. This is no longer BJP it is Modi and his chamchas. It's that simple.
#Modi_Hatao_Desh_Bachao","['BJP', 'Yedyurappa', 'jagadishshetter']",Twitter Web App,False
Lone Ranger,,"#Crypto
#CBDC",2022-11-21 19:53:11+00:00,19,79,357,False,2023-04-16 16:20:39+00:00,"@prakashraaj @narendramodi Why u always tag ur papa/father/baap?
#Modi",['Modi'],Twitter for Android,False
Kabir Muzammil 🇮🇳,Rock Bottom ,"Personal Development,
Software Development,
Learning German 🇩🇪
Toota hua saaz...",2014-09-16 06:52:36+00:00,21,168,2951,False,2023-04-16 16:16:57+00:00,"Must watch interview
Cuz sold media won't show you this truth  

#PulwamaAttack #SatypalMalik #KaranThapar #Adani #Modi #RahulGhandi #Article370 https://t.co/5XLIdTYjEh","['PulwamaAttack', 'SatypalMalik', 'KaranThapar', 'Adani']",Twitter for Android,False
